ORIGIN,flights,delay_rate,cancel_rate,avg_precip,avg_wind_gust
ATL,341910,0.19753152,0.009973384,3.9012017,35.60974
DFW,313582,0.2752683,0.018613951,3.1632204,37.262875
DEN,308645,0.23188643,0.01129129,1.020602,37.737415
ORD,280052,0.22181468,0.013515348,2.7766159,39.63312
CLT,217574,0.2646026,0.013682701,3.1545787,34.173748
LAX,194053,0.18040305,0.008147258,1.0092733,38.565063
LAS,189252,0.23555648,0.008824213,0.28047684,36.010765
MCO,159553,0.24567673,0.018238453,4.000754,35.183357
JFK,123348,0.20225637,0.018589681,3.1300678,42.46978
MIA,109944,0.27153212,0.017081423,5.1335406,37.11975
