feature,role
TAIL_NUM,frequency_encoded
ORIGIN,low_card_ohe
CARRIER_ROUTE_CANCEL_RATE_EXPANDING,numeric
CARRIER_ROUTE_DELAY_RATE_EXPANDING,numeric
CARRIER_ROUTE_OBS_BEFORE,numeric
DOY_COS,numeric
DOY_SIN,numeric
IS_WEEKEND,numeric
LOG_DISTANCE,numeric
MONTH,numeric
OP_CARRIER_AIRLINE_ID,numeric
OP_CARRIER_FL_NUM,numeric
ROUTE_CANCEL_RATE_EXPANDING,numeric
ROUTE_DELAY_RATE_EXPANDING,numeric
ROUTE_OBS_BEFORE,numeric
TAIL_CANCEL_RATE_ROLL30,numeric
TAIL_DELAY_RATE_ROLL30,numeric
TAIL_PREV_ARR_DELAY_PRIOR,numeric
TAIL_PREV_CANCELLED_PRIOR,numeric
TAIL_PREV_DAYS_GAP,numeric
TAIL_PREV_DEP_DELAY_PRIOR,numeric
TAIL_PREV_DEST_MATCH_ORIGIN,numeric
W_CLOUD_COVER_MEAN,numeric
W_FREEZE_FLAG,numeric
W_HIGH_WIND_FLAG,numeric
W_PRECIPITATION_HOURS,numeric
W_PRECIPITATION_SUM,numeric
W_PRECIPITATION_SUM_LAG1,numeric
W_PRECIPITATION_SUM_ROLL7,numeric
W_PRECIP_FLAG,numeric
W_RELATIVE_HUMIDITY_2M_MEAN,numeric
W_SNOWFALL_SUM,numeric
W_SNOWFALL_SUM_LAG1,numeric
W_SNOWFALL_SUM_ROLL7,numeric
W_SNOW_FLAG,numeric
W_SURFACE_PRESSURE_MEAN,numeric
W_TEMPERATURE_2M_MEAN,numeric
W_TEMPERATURE_2M_MEAN_LAG1,numeric
W_TEMPERATURE_2M_MEAN_ROLL7,numeric
W_WEATHER_CODE,numeric
W_WIND_DIRECTION_10M_DOMINANT,numeric
W_WIND_GUSTS_10M_MAX,numeric
W_WIND_GUSTS_10M_MAX_LAG1,numeric
W_WIND_GUSTS_10M_MAX_ROLL7,numeric
carrier_route_carrier_route_cancel_rate_lag1,numeric
carrier_route_carrier_route_cancel_rate_roll30,numeric
carrier_route_carrier_route_daily_flights_lag1,numeric
carrier_route_carrier_route_daily_flights_roll30,numeric
carrier_route_carrier_route_delay_rate_lag1,numeric
carrier_route_carrier_route_delay_rate_roll30,numeric
origin_origin_cancel_rate_lag1,numeric
origin_origin_cancel_rate_roll30,numeric
origin_origin_daily_flights_lag1,numeric
origin_origin_daily_flights_roll30,numeric
origin_origin_delay_rate_lag1,numeric
origin_origin_delay_rate_roll30,numeric
route_route_cancel_rate_lag1,numeric
route_route_cancel_rate_roll30,numeric
route_route_daily_flights_lag1,numeric
route_route_daily_flights_roll30,numeric
route_route_delay_rate_lag1,numeric
route_route_delay_rate_roll30,numeric
CARRIER_ROUTE,target_encoded
DEST,target_encoded
ROUTE,target_encoded
