feature,dtype
MONTH,float32
OP_CARRIER_AIRLINE_ID,float32
OP_CARRIER_FL_NUM,float32
IS_WEEKEND,float32
W_WEATHER_CODE,float32
W_TEMPERATURE_2M_MEAN,float32
W_PRECIPITATION_SUM,float32
W_SNOWFALL_SUM,float32
W_PRECIPITATION_HOURS,float32
W_WIND_GUSTS_10M_MAX,float32
W_WIND_DIRECTION_10M_DOMINANT,float32
W_CLOUD_COVER_MEAN,float32
W_RELATIVE_HUMIDITY_2M_MEAN,float32
W_SURFACE_PRESSURE_MEAN,float32
W_PRECIP_FLAG,float32
W_SNOW_FLAG,float32
W_HIGH_WIND_FLAG,float32
W_FREEZE_FLAG,float32
W_PRECIPITATION_SUM_LAG1,float32
W_PRECIPITATION_SUM_ROLL7,float32
W_SNOWFALL_SUM_LAG1,float32
W_SNOWFALL_SUM_ROLL7,float32
W_WIND_GUSTS_10M_MAX_LAG1,float32
W_WIND_GUSTS_10M_MAX_ROLL7,float32
W_TEMPERATURE_2M_MEAN_LAG1,float32
W_TEMPERATURE_2M_MEAN_ROLL7,float32
origin_origin_daily_flights_lag1,float32
origin_origin_daily_flights_roll30,float32
origin_origin_delay_rate_lag1,float32
origin_origin_delay_rate_roll30,float32
origin_origin_cancel_rate_lag1,float32
origin_origin_cancel_rate_roll30,float32
route_route_daily_flights_lag1,float32
route_route_daily_flights_roll30,float32
route_route_delay_rate_lag1,float32
route_route_delay_rate_roll30,float32
route_route_cancel_rate_lag1,float32
route_route_cancel_rate_roll30,float32
carrier_route_carrier_route_daily_flights_lag1,float32
carrier_route_carrier_route_daily_flights_roll30,float32
carrier_route_carrier_route_delay_rate_lag1,float32
carrier_route_carrier_route_delay_rate_roll30,float32
carrier_route_carrier_route_cancel_rate_lag1,float32
carrier_route_carrier_route_cancel_rate_roll30,float32
ROUTE_OBS_BEFORE,float32
ROUTE_DELAY_RATE_EXPANDING,float32
ROUTE_CANCEL_RATE_EXPANDING,float32
CARRIER_ROUTE_OBS_BEFORE,float32
CARRIER_ROUTE_DELAY_RATE_EXPANDING,float32
CARRIER_ROUTE_CANCEL_RATE_EXPANDING,float32
TAIL_PREV_DAYS_GAP,float32
TAIL_PREV_DEST_MATCH_ORIGIN,float32
TAIL_PREV_ARR_DELAY_PRIOR,float32
TAIL_PREV_DEP_DELAY_PRIOR,float32
TAIL_PREV_CANCELLED_PRIOR,float32
TAIL_DELAY_RATE_ROLL30,float32
TAIL_CANCEL_RATE_ROLL30,float32
LOG_DISTANCE,float32
DOY_SIN,float32
DOY_COS,float32
ORIGIN_ATL,float32
ORIGIN_CLT,float32
ORIGIN_DEN,float32
ORIGIN_DFW,float32
ORIGIN_JFK,float32
ORIGIN_LAS,float32
ORIGIN_LAX,float32
ORIGIN_MCO,float32
ORIGIN_MIA,float32
ORIGIN_ORD,float32
TE_DEST,float32
TE_ROUTE,float32
TE_CARRIER_ROUTE,float32
FREQ_TAIL_NUM,float32
