ORIGIN,flights,observed_rate,mean_predicted_risk,predicted_positive_rate
CLT,54869,0.1903989502269041,0.23032904,0.3047804771364523
MIA,26998,0.19394029187347211,0.22614144,0.29379954070671904
DFW,77836,0.2160696849786731,0.21824539,0.30828922349555477
LAS,48365,0.17789723973948102,0.21682405,0.24058720148867982
MCO,37564,0.17764348844638483,0.20955263,0.19265786391225642
DEN,77541,0.16957480558672186,0.19768988,0.1676790343173289
ORD,70035,0.16857285642892839,0.19757974,0.1702862854287142
JFK,31021,0.15815093001515101,0.18636557,0.15689371715934367
ATL,86523,0.1593911445511598,0.17852162,0.14680489580805103
LAX,48975,0.1480755487493619,0.15134114,0.029831546707503827
