ROUTE,flights,observed_rate,mean_predicted_risk
DFW_BDL,165,0.2787878787878788,0.32406497
DFW_GEG,134,0.3582089552238806,0.31533402
DFW_MSN,263,0.33460076045627374,0.3123782
ORD_FOD,156,0.26282051282051283,0.3055862
DFW_PBI,276,0.286231884057971,0.3042949
MCO_PDX,120,0.3333333333333333,0.3001985
CLT_MDW,197,0.3350253807106599,0.2964072
DFW_SAV,226,0.3407079646017699,0.29547405
DFW_CAE,179,0.2905027932960894,0.2946309
ORD_HSV,213,0.27699530516431925,0.29228407
MIA_SAN,158,0.25316455696202533,0.29145214
JFK_BQN,148,0.30405405405405406,0.2896588
DFW_PSP,264,0.25,0.2885298
DFW_RSW,300,0.24666666666666667,0.28721136
CLT_DSM,181,0.19889502762430938,0.2870191
DFW_EGE,141,0.28368794326241137,0.28699005
DFW_RIC,224,0.2544642857142857,0.28635377
DFW_PDX,618,0.2993527508090615,0.28625065
DFW_SMF,427,0.2857142857142857,0.28491396
MCO_BQN,222,0.2747747747747748,0.28461006
