ROUTE,flights,delay_rate,cancel_rate
LAX_SFO,11526,0.25908098,0.009023079
ORD_LGA,10969,0.22391526,0.020603519
LAX_JFK,9915,0.17005976,0.0044377204
JFK_LAX,9915,0.1503592,0.0039334344
LAX_LAS,9603,0.23347694,0.0090596685
LAS_LAX,9559,0.23561037,0.0077413954
DEN_PHX,9446,0.24101412,0.010692356
MCO_ATL,8967,0.24249972,0.0152782425
ATL_MCO,8935,0.26160145,0.016228316
LAS_DEN,8192,0.2277668,0.012207031
DEN_LAS,8162,0.27342492,0.010291595
ATL_LGA,8109,0.23033778,0.011838698
DEN_SLC,8103,0.24490303,0.007404665
DEN_LAX,7754,0.22390397,0.011864844
ATL_FLL,7702,0.2703626,0.01194495
LAX_DEN,7688,0.18382643,0.011316337
LAX_SEA,7382,0.1604161,0.010566242
LAX_PHX,7159,0.18874544,0.0047492664
LAS_PHX,7047,0.2246501,0.0065276003
LAX_DFW,7018,0.24408881,0.012539185
DFW_LAX,7013,0.28985715,0.0116925705
ORD_BOS,6937,0.23076923,0.012685599
ATL_DCA,6868,0.20344472,0.011065813
LAS_SAN,6808,0.26125592,0.009694478
ATL_TPA,6767,0.24562727,0.020097531
